image,orig_count,quant_count,matched,orig_top,quant_top
2021041310020608608.jpg,37,56,1,0.5160061120986938,0.5160062909126282
2121.jpg,0,52,0,0.0,0.5160062909126282
OIP-C.jpg,1,49,0,0.4921865463256836,0.5058885216712952
R-C.jpg,0,35,0,0.0,0.5058885216712952
t019872959c62f44875.jpg,0,22,0,0.0,0.5160062909126282
